,m,p,h,T,water,LiBr,ex_ph,ex_mech,ex_th
1,8.19840236573126,70181.76581498454,215208.67890429802,385.1500000073539,0.5504249823955802,0.44957501760441976,25266.49263323984,-20.513582807752755,25287.006216047594
2,8.19840236573126,70181.76581498454,89400.83103557726,332.2944883538983,0.5504249823955802,0.44957501760441976,4181.9250625291115,-20.513582807752755,4202.438645336864
3,8.19840236573126,1228.1988730474777,89400.83103557727,302.25556002495074,0.5504249823955802,0.44957501760441976,787.30047269186,-67.95048656969338,855.2509592615534
4,7.132099020249664,1228.1988730474775,30484.73115322025,308.15000071439783,0.48321007983552544,0.5167899201644746,273.96110451822005,-63.35479547151135,337.3158999897314
40,7.132099020249665,1228.1988730474777,30484.73115322026,308.1500007143972,0.48321007983552544,0.5167899201644746,273.9611045313095,-63.35479547151135,337.31590000282085
5,7.132099020249665,70181.76581498452,30543.819117550043,308.158615390895,0.48321007983552544,0.5167899201644746,318.7566905522934,-19.126188918283514,337.8828794705769
6,7.132099020249665,70181.76581498452,175160.90234452594,375.1500009026714,0.48321007983552544,0.5167899201644746,18454.549714578312,-19.126188918283514,18473.675903496594
10,1.066303345481595,1228.1988730474777,2555148.6752947667,302.25556002630896,1.0,,-130376.87018177449,-130429.42726093717,52.557079162683294
11,1.066303345481595,1228.1988730474777,2555148.6752947667,302.25556002630896,1.0,,-130376.87018177449,-130429.42726093717,52.557079162683294
12,1.066303345481595,1228.1988730474777,42021.25294647092,283.14999929962755,1.0,,1536.8099692240357,-130429.42726093717,131966.2372301612
13,1.066303345481595,70181.76581498451,42113.22128506457,283.15588840229395,1.0,,1604.5684761606642,-29.906748845180296,1634.4752250058445
14,1.066303345481595,70181.76581498451,2659530.014195669,363.14999999995206,1.0,,434490.1941666394,-29.906748845180296,434520.1009154846
